,,,,,,,,,,
编号,名称,类型,属性,HP,攻击,防御,特攻,特防,速度,图片链接
451,Skorupi,Poison,Bug,40,50,90,30,55,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/skorupi.png
452,Drapion,Poison,Dark,70,90,110,60,75,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/drapion.png
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/croagunk.png
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/toxicroak.png
455,Carnivine,Grass, ,74,100,72,90,72,46,https://img.pokemondb.net/sprites/scarlet-violet/icon/carnivine.png
456,Finneon,Water, ,49,49,56,49,61,66,https://img.pokemondb.net/sprites/scarlet-violet/icon/finneon.png
457,Lumineon,Water, ,69,69,76,69,86,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/lumineon.png
458,Mantyke,Water,Flying,45,20,50,60,120,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/mantyke.png
459,Snover,Grass,Ice,60,62,50,62,60,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/snover.png
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/abomasnow.png
461,Weavile,Dark,Ice,70,120,65,45,85,125,https://img.pokemondb.net/sprites/scarlet-violet/icon/weavile.png
462,Magnezone,Electric,Steel,70,70,115,130,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnezone.png
463,Lickilicky,Normal, ,110,85,95,80,95,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickilicky.png
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyperior.png
465,Tangrowth,Grass, ,100,100,125,110,50,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/tangrowth.png
466,Electivire,Electric, ,75,123,67,95,85,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/electivire.png
467,Magmortar,Fire, ,75,95,67,125,95,83,https://img.pokemondb.net/sprites/scarlet-violet/icon/magmortar.png
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/togekiss.png
469,Yanmega,Bug,Flying,86,76,86,116,56,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/yanmega.png
470,Leafeon,Grass, ,65,110,130,60,65,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/leafeon.png
471,Glaceon,Ice, ,65,60,110,130,95,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/glaceon.png
472,Gliscor,Ground,Flying,75,95,125,45,75,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/gliscor.png
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/mamoswine.png
474,Porygon-Z,Normal, ,85,80,70,135,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon-z.png
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/gallade.png
476,Probopass,Rock,Steel,60,55,145,75,150,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/probopass.png
477,Dusknoir,Ghost, ,45,100,135,65,135,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/dusknoir.png
478,Froslass,Ice,Ghost,70,80,70,80,70,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/froslass.png
479,Rotom,Electric,Ghost,50,50,77,95,77,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom.png
479,Heat Rotom,Electric,Fire,50,65,107,105,107,86,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom-heat.png
479,Wash Rotom,Electric,Water,50,65,107,105,107,86,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom-wash.png
479,Frost Rotom,Electric,Ice,50,65,107,105,107,86,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom-frost.png
479,Fan Rotom,Electric,Flying,50,65,107,105,107,86,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom-fan.png
479,Mow Rotom,Electric,Grass,50,65,107,105,107,86,https://img.pokemondb.net/sprites/scarlet-violet/icon/rotom-mow.png
480,Uxie,Psychic, ,75,75,130,75,130,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/uxie.png
481,Mesprit,Psychic, ,80,105,105,105,105,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/mesprit.png
482,Azelf,Psychic, ,75,125,70,125,70,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/azelf.png
483,Dialga,Steel,Dragon,100,120,120,150,100,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/dialga.png
484,Palkia,Water,Dragon,90,120,100,150,120,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/palkia.png
485,Heatran,Fire,Steel,91,90,106,130,106,77,https://img.pokemondb.net/sprites/scarlet-violet/icon/heatran.png
486,Regigigas,Normal, ,110,160,110,80,110,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/regigigas.png
487,Altered Forme,Ghost,Dragon,150,100,120,100,120,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/giratina-altered-forme.png
487,Origin Forme,Ghost,Dragon,150,120,100,120,100,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/giratina-origin-forme.png
488,Cresselia,Psychic, ,120,70,110,75,120,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/cresselia.png
489,Phione,Water, ,80,80,80,80,80,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/phione.png
490,Manaphy,Water, ,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/manaphy.png
491,Darkrai,Dark, ,70,90,90,135,90,125,https://img.pokemondb.net/sprites/scarlet-violet/icon/darkrai.png
492,Land Forme,Grass, ,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/shaymin-land-forme.png
492,Sky Forme,Grass,Flying,100,103,75,120,75,127,https://img.pokemondb.net/sprites/scarlet-violet/icon/shaymin-sky-forme.png
493,Arceus,Normal, ,120,120,120,120,120,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/arceus.png
494,Victini,Psychic,Fire,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/victini.png
495,Snivy,Grass, ,45,45,55,45,55,63,https://img.pokemondb.net/sprites/scarlet-violet/icon/snivy.png
496,Servine,Grass, ,60,60,75,60,75,83,https://img.pokemondb.net/sprites/scarlet-violet/icon/servine.png
497,Serperior,Grass, ,75,75,95,75,95,113,https://img.pokemondb.net/sprites/scarlet-violet/icon/serperior.png
498,Tepig,Fire, ,65,63,45,45,45,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/tepig.png
499,Pignite,Fire,Fighting,90,93,55,70,55,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/pignite.png
500,Emboar,Fire,Fighting,110,123,65,100,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/emboar.png
501,Oshawott,Water, ,55,55,45,63,45,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/oshawott.png
502,Dewott,Water, ,75,75,60,83,60,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewott.png
503,Samurott,Water, ,95,100,85,108,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/samurott.png
504,Patrat,Normal, ,45,55,39,35,39,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/patrat.png
505,Watchog,Normal, ,60,85,69,60,69,77,https://img.pokemondb.net/sprites/scarlet-violet/icon/watchog.png
506,Lillipup,Normal, ,45,60,45,25,45,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/lillipup.png
507,Herdier,Normal, ,65,80,65,35,65,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/herdier.png
508,Stoutland,Normal, ,85,110,90,45,90,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/stoutland.png
509,Purrloin,Dark, ,41,50,37,50,37,66,https://img.pokemondb.net/sprites/scarlet-violet/icon/purrloin.png
510,Liepard,Dark, ,64,88,50,88,50,106,https://img.pokemondb.net/sprites/scarlet-violet/icon/liepard.png
511,Pansage,Grass, ,50,53,48,53,48,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/pansage.png
512,Simisage,Grass, ,75,98,63,98,63,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/simisage.png
513,Pansear,Fire, ,50,53,48,53,48,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/pansear.png
514,Simisear,Fire, ,75,98,63,98,63,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/simisear.png
515,Panpour,Water, ,50,53,48,53,48,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/panpour.png
516,Simipour,Water, ,75,98,63,98,63,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/simipour.png
517,Munna,Psychic, ,76,25,45,67,55,24,https://img.pokemondb.net/sprites/scarlet-violet/icon/munna.png
518,Musharna,Psychic, ,116,55,85,107,95,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/musharna.png
519,Pidove,Normal,Flying,50,55,50,36,30,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidove.png
520,Tranquill,Normal,Flying,62,77,62,50,42,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/tranquill.png
521,Unfezant,Normal,Flying,80,115,80,65,55,93,https://img.pokemondb.net/sprites/scarlet-violet/icon/unfezant.png
522,Blitzle,Electric, ,45,60,32,50,32,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/blitzle.png
523,Zebstrika,Electric, ,75,100,63,80,63,116,https://img.pokemondb.net/sprites/scarlet-violet/icon/zebstrika.png
524,Roggenrola,Rock, ,55,75,85,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/roggenrola.png
525,Boldore,Rock, ,70,105,105,50,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/boldore.png
526,Gigalith,Rock, ,85,135,130,60,80,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/gigalith.png
527,Woobat,Psychic,Flying,65,45,43,55,43,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/woobat.png
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,https://img.pokemondb.net/sprites/scarlet-violet/icon/swoobat.png
529,Drilbur,Ground, ,60,85,40,30,45,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/drilbur.png
530,Excadrill,Ground,Steel,110,135,60,50,65,88,https://img.pokemondb.net/sprites/scarlet-violet/icon/excadrill.png
531,Audino,Normal, ,103,60,86,60,86,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/audino.png
532,Timburr,Fighting, ,75,80,55,25,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/timburr.png
533,Gurdurr,Fighting, ,85,105,85,40,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gurdurr.png
534,Conkeldurr,Fighting, ,105,140,95,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/conkeldurr.png
535,Tympole,Water, ,50,50,40,50,40,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/tympole.png
536,Palpitoad,Water,Ground,75,65,55,65,55,69,https://img.pokemondb.net/sprites/scarlet-violet/icon/palpitoad.png
537,Seismitoad,Water,Ground,105,95,75,85,75,74,https://img.pokemondb.net/sprites/scarlet-violet/icon/seismitoad.png
538,Throh,Fighting, ,120,100,85,30,85,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/throh.png
539,Sawk,Fighting, ,75,125,75,30,75,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawk.png
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/sewaddle.png
541,Swadloon,Bug,Grass,55,63,90,50,80,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/swadloon.png
542,Leavanny,Bug,Grass,75,103,80,70,80,92,https://img.pokemondb.net/sprites/scarlet-violet/icon/leavanny.png
543,Venipede,Bug,Poison,30,45,59,30,39,57,https://img.pokemondb.net/sprites/scarlet-violet/icon/venipede.png
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/whirlipede.png
545,Scolipede,Bug,Poison,60,100,89,55,69,112,https://img.pokemondb.net/sprites/scarlet-violet/icon/scolipede.png
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,https://img.pokemondb.net/sprites/scarlet-violet/icon/cottonee.png
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,https://img.pokemondb.net/sprites/scarlet-violet/icon/whimsicott.png
548,Petilil,Grass, ,45,35,50,70,50,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/petilil.png
549,Lilligant,Grass, ,70,60,75,110,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/lilligant.png
550,Red-Striped Form,Water, ,70,92,65,80,55,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-red-striped-form.png
550,Blue-Striped Form,Water, ,70,92,65,80,55,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-blue-striped-form.png
551,Sandile,Ground,Dark,50,72,35,35,35,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandile.png
552,Krokorok,Ground,Dark,60,82,45,45,45,74,https://img.pokemondb.net/sprites/scarlet-violet/icon/krokorok.png
553,Krookodile,Ground,Dark,95,117,80,65,70,92,https://img.pokemondb.net/sprites/scarlet-violet/icon/krookodile.png
554,Darumaka,Fire, ,70,90,45,15,45,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/darumaka.png
555,Standard Mode,Fire, ,105,140,55,30,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-standard-mode.png
555,Zen Mode,Fire,Psychic,105,30,105,140,105,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-zen-mode.png
556,Maractus,Grass, ,75,86,67,106,67,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/maractus.png
557,Dwebble,Bug,Rock,50,65,85,35,35,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/dwebble.png
558,Crustle,Bug,Rock,70,105,125,65,75,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/crustle.png
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/scraggy.png
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/scrafty.png
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/sigilyph.png
562,Yamask,Ghost, ,38,30,85,55,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/yamask.png
563,Cofagrigus,Ghost, ,58,50,145,95,105,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/cofagrigus.png
564,Tirtouga,Water,Rock,54,78,103,53,45,22,https://img.pokemondb.net/sprites/scarlet-violet/icon/tirtouga.png
565,Carracosta,Water,Rock,74,108,133,83,65,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/carracosta.png
566,Archen,Rock,Flying,55,112,45,74,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/archen.png
567,Archeops,Rock,Flying,75,140,65,112,65,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/archeops.png
568,Trubbish,Poison, ,50,50,62,40,62,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/trubbish.png
569,Garbodor,Poison, ,80,95,82,60,82,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/garbodor.png
570,Zorua,Dark, ,40,65,40,80,40,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/zorua.png
571,Zoroark,Dark, ,60,105,60,120,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/zoroark.png
572,Minccino,Normal, ,55,50,40,40,40,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/minccino.png
573,Cinccino,Normal, ,75,95,60,65,60,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/cinccino.png
574,Gothita,Psychic, ,45,30,50,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothita.png
575,Gothorita,Psychic, ,60,45,70,75,85,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothorita.png
576,Gothitelle,Psychic, ,70,55,95,95,110,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothitelle.png
577,Solosis,Psychic, ,45,30,40,105,50,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/solosis.png
578,Duosion,Psychic, ,65,40,50,125,60,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/duosion.png
579,Reuniclus,Psychic, ,110,65,75,125,85,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/reuniclus.png
580,Ducklett,Water,Flying,62,44,50,44,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ducklett.png
581,Swanna,Water,Flying,75,87,63,87,63,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/swanna.png
582,Vanillite,Ice, ,36,50,50,65,60,44,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillite.png
583,Vanillish,Ice, ,51,65,65,80,75,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillish.png
584,Vanilluxe,Ice, ,71,95,85,110,95,79,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanilluxe.png
585,Deerling,Normal,Grass,60,60,50,40,50,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/deerling.png
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawsbuck.png
587,Emolga,Electric,Flying,55,75,60,75,60,103,https://img.pokemondb.net/sprites/scarlet-violet/icon/emolga.png
588,Karrablast,Bug, ,50,75,45,40,45,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/karrablast.png
589,Escavalier,Bug,Steel,70,135,105,60,105,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/escavalier.png
590,Foongus,Grass,Poison,69,55,45,55,55,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/foongus.png
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/amoonguss.png
592,Frillish,Water,Ghost,55,40,50,65,85,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/frillish.png
593,Jellicent,Water,Ghost,100,60,70,85,105,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/jellicent.png
594,Alomomola,Water, ,165,75,80,40,45,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/alomomola.png
595,Joltik,Bug,Electric,50,47,50,57,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/joltik.png
596,Galvantula,Bug,Electric,70,77,60,97,60,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/galvantula.png
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferroseed.png
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferrothorn.png
599,Klink,Steel, ,40,55,70,45,60,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/klink.png
600,Klang,Steel, ,60,80,95,70,85,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/klang.png
601,Klinklang,Steel, ,60,100,115,70,85,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/klinklang.png
602,Tynamo,Electric, ,35,55,40,45,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/tynamo.png
603,Eelektrik,Electric, ,65,85,70,75,70,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektrik.png
604,Eelektross,Electric, ,85,115,80,105,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektross.png
605,Elgyem,Psychic, ,55,55,55,85,55,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/elgyem.png
606,Beheeyem,Psychic, ,75,75,75,125,95,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/beheeyem.png
607,Litwick,Ghost,Fire,50,30,55,65,55,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/litwick.png
608,Lampent,Ghost,Fire,60,40,60,95,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/lampent.png
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/chandelure.png
610,Axew,Dragon, ,46,87,60,30,40,57,https://img.pokemondb.net/sprites/scarlet-violet/icon/axew.png
611,Fraxure,Dragon, ,66,117,70,40,50,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/fraxure.png
612,Haxorus,Dragon, ,76,147,90,60,70,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/haxorus.png
613,Cubchoo,Ice, ,55,70,40,60,40,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubchoo.png
614,Beartic,Ice, ,95,130,80,70,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/beartic.png
615,Cryogonal,Ice, ,80,50,50,95,135,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/cryogonal.png
616,Shelmet,Bug, ,50,40,85,40,65,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/shelmet.png
617,Accelgor,Bug, ,80,70,40,100,60,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/accelgor.png
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunfisk.png
619,Mienfoo,Fighting, ,45,85,50,55,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienfoo.png
620,Mienshao,Fighting, ,65,125,60,95,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienshao.png
621,Druddigon,Dragon, ,77,120,90,60,90,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/druddigon.png
622,Golett,Ground,Ghost,59,74,50,35,50,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/golett.png
623,Golurk,Ground,Ghost,89,124,80,55,80,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/golurk.png
624,Pawniard,Dark,Steel,45,85,70,40,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawniard.png
625,Bisharp,Dark,Steel,65,125,100,60,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/bisharp.png
626,Bouffalant,Normal, ,95,110,95,40,95,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/bouffalant.png
627,Rufflet,Normal,Flying,70,83,50,37,50,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/rufflet.png
628,Braviary,Normal,Flying,100,123,75,57,75,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/braviary.png
629,Vullaby,Dark,Flying,70,55,75,45,65,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/vullaby.png
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/mandibuzz.png
631,Heatmor,Fire, ,85,97,66,105,66,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/heatmor.png
632,Durant,Bug,Steel,58,109,112,48,48,109,https://img.pokemondb.net/sprites/scarlet-violet/icon/durant.png
633,Deino,Dark,Dragon,52,65,50,45,50,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/deino.png
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/zweilous.png
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/hydreigon.png
636,Larvesta,Bug,Fire,55,85,55,50,55,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvesta.png
637,Volcarona,Bug,Fire,85,60,65,135,105,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/volcarona.png
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/cobalion.png
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/terrakion.png
640,Virizion,Grass,Fighting,91,90,72,90,129,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/virizion.png
641,Incarnate Forme,Flying, ,79,115,70,125,80,111,https://img.pokemondb.net/sprites/scarlet-violet/icon/tornadus-incarnate-forme.png
641,Therian Forme,Flying, ,79,100,80,110,90,121,https://img.pokemondb.net/sprites/scarlet-violet/icon/tornadus-therian-forme.png
642,Incarnate Forme,Electric,Flying,79,115,70,125,80,111,https://img.pokemondb.net/sprites/scarlet-violet/icon/thundurus-incarnate-forme.png
642,Therian Forme,Electric,Flying,79,105,70,145,80,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/thundurus-therian-forme.png
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/reshiram.png
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/zekrom.png
645,Incarnate Forme,Ground,Flying,89,125,90,115,80,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/landorus-incarnate-forme.png
645,Therian Forme,Ground,Flying,89,145,90,105,80,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/landorus-therian-forme.png
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyurem.png
646,White Kyurem,Dragon,Ice,125,120,90,170,100,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyurem-white.png
646,Black Kyurem,Dragon,Ice,125,170,100,120,90,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyurem-black.png
647,Ordinary Form,Water,Fighting,91,72,90,129,90,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/keldeo-ordinary-form.png
647,Resolute Form,Water,Fighting,91,72,90,129,90,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/keldeo-resolute-form.png
648,Aria Forme,Normal,Psychic,100,77,77,128,128,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/meloetta-aria-forme.png
648,Pirouette Forme,Normal,Fighting,100,128,90,77,77,128,https://img.pokemondb.net/sprites/scarlet-violet/icon/meloetta-pirouette-forme.png
649,Genesect,Bug,Steel,71,120,95,120,95,99,https://img.pokemondb.net/sprites/scarlet-violet/icon/genesect.png
3,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png
6,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png
6,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png
9,Mega Blastoise,Water, ,79,103,120,135,115,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png
15,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png
18,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot-mega.png
65,Mega Alakazam,Psychic, ,55,50,65,175,105,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png
80,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png
94,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png
115,Mega Kangaskhan,Normal, ,105,125,100,60,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan-mega.png
